WORD	SAMPA	POS	PRON_VARIANT	IS_COMPOUND	COMPOUND_ATTR	HAS_PREFIX	LANG	IS_VALIDATED	COMMENT
afkvæmi	a v k_h v ai m I	n	all	false	head	true	IS	true	
afkvæmum	a v k_h v ai m Y m	n	all	false	head	true	IS	true	
afköst	a v k_h 9 s t	n	all	false	head	true	IS	true	""
afl	a p l_0	n	all	false	both	false	IS	true	
afla	a p l a	n	all	false	both	false	IS	true	
afla	a p l a	so	all	false	both	false	IS	true	
aflaheimilda	a p l a h ei m I l t a	n	all	true	head	false	IS	true	
aflaheimildir	a p l a h ei m I l t I r	n	all	true	head	false	IS	true	
aflaheimildum	a p l a h ei m I l t Y m	n	all	true	none	false	IS	true	
aflahlutdeild	a p l a l_0 Y t ei l t	n	all	true	head	false	IS	true	""
aflahlutdeildum	a p l a l_0 Y t ei l t Y m	n	all	true	none	false	IS	true	
aflamark	a p l a m a r_0 k	n	all	true	head	false	IS	true	""
aflamarks	a p l a m a r_0 k s	n	standard_clear	true	modifier	false	IS	true	
aflamarks	a p l a m a r_0 s	n	standard_cas	true	modifier	false	IS	true	
aflamarksbátum	a p l a m a r_0 k s p au t Y m	n	standard_clear	true	none	false	IS	true	
aflamarksbátum	a p l a m a r_0 k s p au t_h Y m	n	north_clear	true	none	false	IS	true	
aflamarksbátum	a p l a m a r_0 s p au t Y m	n	standard_cas	true	none	false	IS	true	
aflamarkskerfi	a p l a m a r_0 k s c_h E r v I	n	standard_clear	true	none	false	IS	true	
aflamarkskerfi	a p l a m a r_0 s c E r v I	adv	standard_cas	true	none	false	IS	true	
aflann	a p l a n	n	all	false	head	false	IS	true	
aflans	a p l a n s	n	all	false	head	false	IS	true	""
aflanum	a p l a n Y m	n	all	false	head	false	IS	true	""
aflaskýrslu	a p l a s c i r_0 s t l Y	n	standard_clear	true	both	false	IS	true	
aflaskýrslu	a p l a s c i s t l Y	n	standard_cas	true	both	false	IS	true	
aflausn	a v l 9i s t n_0	n	all	true	head	true	IS	true	
aflaverðmæti	a p l a v E r D m ai t I	n	standard_clear	true	none	false	IS	true	
aflaverðmæti	a p l a v E r D m ai t_h I	n	north_clear	true	none	false	IS	true	
aflað	a p l a D	lo	all	false	none	false	IS	true	
aflað	a p l a D	so	all	false	none	false	IS	true	
aflaði	a p l a D I	n	all	false	none	false	IS	true	""
afleggjaranum	a v l E c a r a n Y m	n	all	false	none	true	IS	true	
afleidd	a v l ei t	lo	all	false	none	true	IS	true	
afleiða	a v l ei D a	n	all	false	none	true	IS	true	
afleiðing	a v l ei D i N k	n	all	false	head	true	IS	true	
afleiðinga	a v l ei D i N k a	n	all	false	head	true	IS	true	
afleiðingar	a v l ei D i N k a r	n	all	false	head	true	IS	true	
afleiðingarnar	a v l ei D i N k a r t n a r	n	all	false	head	true	IS	true	
afleiðingin	a v l ei D i J c I n	n	all	false	head	true	IS	true	
afleiðingum	a v l ei D i N k Y m	n	all	false	head	true	IS	true	
afli	a p l I	n	all	false	head	false	IS	true	
afli	a p l I	so	all	false	head	false	IS	true	
aflinn	a p l I n	n	all	false	head	false	IS	true	
afloknum	a v l O h k n Y m	lo	all	false	none	true	IS	true	
afláts	a: v l au t s	n	all	false	none	true	IS	true	
aflétt	a v l j E h t	so	all	false	none	true	IS	true	
aflétta	a f l j E h t a	so	all	false	none	true	IS	true	
aflýsa	a v l i s a	so	all	false	none	true	IS	true	
